Month,Year,PRODUCTS,TRADE,"Quantity (000 Metric Tonnes)","Value in Rupees (Crore)","Value in Dollars (Million US dollar)",date_updated
April,2022,Others%,Export,275.37,1788.29,234.18,"2024-02-21 04:02:12"
April,2022,"TOTAL  PRODUCT EXPORT",Export,5437.79,44503.61,5812.22,"2024-02-21 04:02:12"
April,2022,"NET IMPORT",Export,20353.71,106754.16,13945.90,"2024-02-21 04:02:12"
May,2022,"CRUDE OIL",Import,19644.25,119633.62,15468.78,"2024-02-21 04:02:12"
May,2022,LPG,Import,1365.49,9255.45,1197.71,"2024-02-21 04:02:12"
May,2022,MS,Import,29.79,314.45,40.14,"2024-02-21 04:02:12"
May,2022,Naphtha,Import,30.46,260.22,33.66,"2024-02-21 04:02:12"
May,2022,ATF,Import,0.00,0.00,0.00,"2024-02-21 04:02:12"
May,2022,HSD,Import,8.50,102.78,13.29,"2024-02-21 04:02:12"
May,2022,"LOBS/ Lube oil",Import,213.50,1680.77,217.45,"2024-02-21 04:02:12"
May,2022,"Fuel Oil",Import,481.90,2519.27,326.13,"2024-02-21 04:02:12"
May,2022,Bitumen,Import,254.49,1020.94,132.02,"2024-02-21 04:02:12"
May,2022,Petcoke,Import,708.67,1675.71,216.73,"2024-02-21 04:02:12"
May,2022,Others&,Import,197.79,1318.31,170.51,"2024-02-21 04:02:12"
May,2022,"PRODUCT IMPORT*",Import,3290.58,18147.90,2347.64,"2024-02-21 04:02:12"
May,2022,"TOTAL IMPORT",Import,22934.84,137781.53,17816.42,"2024-02-21 04:02:12"
May,2022,LPG,Export,47.69,418.97,54.45,"2024-02-21 04:02:12"
May,2022,MS!,Export,1157.83,11527.75,1491.26,"2024-02-21 04:02:12"
May,2022,Naphtha$,Export,556.06,3643.54,471.39,"2024-02-21 04:02:12"
May,2022,ATF#,Export,447.70,4073.10,526.15,"2024-02-21 04:02:12"
May,2022,SKO,Export,0.69,6.37,0.83,"2024-02-21 04:02:12"
May,2022,HSD,Export,3062.52,27541.93,3567.14,"2024-02-21 04:02:12"
May,2022,LDO,Export,0.11,1.04,0.14,"2024-02-21 04:02:12"
May,2022,"LOBS/ Lube Oil",Export,0.42,6.35,0.83,"2024-02-21 04:02:12"
May,2022,"Fuel Oil",Export,76.75,460.71,60.00,"2024-02-21 04:02:12"
May,2022,Bitumen,Export,0.14,0.78,0.10,"2024-02-21 04:02:12"
May,2022,"Petcoke / CBFS",Export,33.00,124.09,16.00,"2024-02-21 04:02:12"
May,2022,Others%,Export,300.48,2177.20,281.79,"2024-02-21 04:02:12"
May,2022,"TOTAL  PRODUCT EXPORT",Export,5683.39,49981.83,6470.07,"2024-02-21 04:02:12"
May,2022,"NET IMPORT",Export,17251.45,87799.70,11346.35,"2024-02-21 04:02:12"
June,2022,"CRUDE OIL",Import,19209.65,121897.64,15596.97,"2024-02-21 04:02:12"
June,2022,LPG,Import,1252.39,7620.45,971.17,"2024-02-21 04:02:12"
June,2022,MS,Import,127.52,1620.76,207.74,"2024-02-21 04:02:12"
